,label,id,source,num_users,max_depth,source_tweet,mean_time,median_time,max_time,topic_category,topic_name,start_time,root_user
0,True,514106273852174337,twitter15,534,4,just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL,1.371599999999999,1.08,2.08,Terrorism & War,True_Terrorism & War_6,2014-09-22 17:37:41+00:00,14173315
1,True,509464457836511232,twitter15,286,3,"apparently microsoft are trying to buy mojang, the creators of minecraft, for around $2 billion... o_o",0.7088,0.67,1.24,Business,True_Business_8,2014-09-09 22:12:46+00:00,155620461
2,True,524312881823637504,twitter15,334,3,google south american goliath birdeater. helllll noooooo✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋,1.5745999999999998,1.59,2.88,Science & Technology,True_Science & Technology_3,2014-10-20 21:35:06+00:00,28638191
3,True,407254590363426816,twitter15,573,3,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL",0.9716,0.98,1.52,Entertainment,True_Entertainment_33,2013-12-01 21:07:15+00:00,22179997
4,True,524941504796962816,twitter15,384,4,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL",0.7661999999999999,0.785,1.49,Terrorism & War,True_Terrorism & War_15,2014-10-22 15:13:02+00:00,6433472
5,True,528237933661544448,twitter15,517,3,"fanged deer pops up in afghanistan, 60 years after its last appearance URL URL",1.3612,1.11,2.98,Science & Technology,True_Science & Technology_8,2014-10-31 17:31:52+00:00,2467791
6,True,407182466613792768,twitter15,229,3,"fan of ""fast & furious"" actor paul walker shocked by his death as memorial grows URL URL",3.4016,3.265,6.99,Entertainment,True_Entertainment_10,2013-12-01 16:20:39+00:00,17379685
7,True,536962520477470720,twitter15,270,5,that powerful letter from lego to parents from the 1970s? it's real URL URL,2.9218,2.855,6.85,Education,True_Education_5,2014-11-24 19:20:15+00:00,16973333
8,True,551106923601219585,twitter15,561,3,"goodbye elly may: 'beverly hillbillies' star donna douglas dead at 81, reports say. URL URL",1.567,1.6349999999999998,3.42,Entertainment,True_Entertainment_61,2015-01-02 20:05:04+00:00,1367531
9,True,552498516225179650,twitter15,416,3,this dog was abandoned at a scottish railway station with a suitcase full of his belongings URL URL,1.6342,1.475,4.66,Natural Disasters,True_Natural Disasters_2,2015-01-06 16:14:45+00:00,5695632
10,True,552457656666185728,twitter15,345,3,this dog was abandoned at a scottish railway station with a suitcase full of his belongings URL URL,2.9056000000000006,2.77,4.87,Urban Legends,True_Urban Legends_5,2015-01-06 13:32:24+00:00,1068121346
11,True,536827853669941248,twitter15,248,6,lego letter from the 1970s still offers a powerful message to parents 40 years later URL URL,3.185200000000001,2.87,6.03,Education,True_Education_4,2014-11-24 10:25:08+00:00,16973333
12,True,407197113286545409,twitter15,392,3,paul walker's character name on fast and furious was brian. brian from family guy died in a car accident. coincidence? i think not,1.3921999999999997,1.3,1.86,Entertainment,True_Entertainment_17,2013-12-01 17:18:51+00:00,278122965
13,True,514478918636535808,twitter15,530,5,portland cops complete delivery after pizza hut driver injured in crash URL URL,1.5579999999999998,1.4,3.33,Business,True_Business_12,2014-09-23 18:18:27+00:00,14173315
14,True,523126268603031552,twitter15,443,3,the stuff of nightmares: this guy ran into a puppy sized spider. in a rainforest. at night. URL URL,1.5378,1.18,3.08,Urban Legends,True_Urban Legends_1,2014-10-17 14:59:56+00:00,15913
15,True,524586367456919552,twitter15,108,3,scientist releases this horrifying picture of a puppy-sized spider he found in the rainforest URL URL,4.368399999999999,4.29,8.73,Science & Technology,True_Science & Technology_4,2014-10-21 15:41:51+00:00,17469289
16,True,531648145613398016,twitter15,550,5,making my own doritos flavored mountain dew! URL,0.9384,0.85,1.38,Entertainment,True_Entertainment_46,2014-11-10 03:22:50+00:00,42345999
17,True,510918747188514816,twitter15,376,3,breaking: video claims to show beheading of british aid worker david haines by #isis.,0.8420000000000001,0.665,1.6,Terrorism & War,True_Terrorism & War_3,2014-09-13 22:31:36+00:00,1367531
18,True,551575491430211584,twitter15,457,5,"19-year-old girl wakes up during brain surgery, asks doctors ‘how’s it going?’ URL via @foxnewshealth",0.982,0.88,2.05,Health,True_Health_12,2015-01-04 03:06:59+00:00,1367531
